pwsid,pwsname,pctblack,pcthisp,percpov,medianincomehouse,perctbachlocal,percthighlocal,retpopsrvd,health,logpop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY,newsystem,groundw,purchasedwater,fy2011,fy2012,fy2013,lhealth
PA4410175,MONTOURSVILLE WATER COMPANY,1.492537260055542,1.5790612697601318,10,44146,27.600000381469727,93.4000015258789,4983,0,8.513787269592285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PA4410175,MONTOURSVILLE WATER COMPANY,1.0157769918441772,1.2318997383117676,8.5,42117,26.600000381469727,93.30000305175781,4983,0,8.513787269592285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PA4410175,MONTOURSVILLE WATER COMPANY,0.6704152226448059,1.016435980796814,7.800000190734863,42480,22.5,92.4000015258789,4983,0,8.513787269592285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PA4410175,MONTOURSVILLE WATER COMPANY,0.8010391592979431,1.1690841913223267,9.600000381469727,46938,20,92,4983,0,8.513787269592285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PA4410178,HUGHESVILLE BOROUGH WATER AUTH,0.9995002746582031,2.798600673675537,10.300000190734863,38672,18.899999618530273,88.4000015258789,2400,0,7.783224105834961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PA4410178,HUGHESVILLE BOROUGH WATER AUTH,0.3076923191547394,2.307692289352417,10.300000190734863,42938,19.600000381469727,90.19999694824219,2400,0,7.783224105834961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PA4410178,HUGHESVILLE BOROUGH WATER AUTH,0,1.6056196689605713,10.300000190734863,43261,20.100000381469727,91.69999694824219,2400,0,7.783224105834961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PA4410178,HUGHESVILLE BOROUGH WATER AUTH,0.22383883595466614,1.846670389175415,8,44234,21.700000762939453,92.19999694824219,2400,0,7.783224105834961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PA4440010,LEWISTOWN BORO MUNI AUTH,1.2942293882369995,1.4367133378982544,27.399999618530273,26584,11.5,81.0999984741211,26765,0,10.194849967956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4440010,LEWISTOWN BORO MUNI AUTH,1.226190447807312,2.690476179122925,27.200000762939453,32193,11.300000190734863,83.80000305175781,26765,0,10.194849967956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4440010,LEWISTOWN BORO MUNI AUTH,1.8872431516647339,2.580028772354126,27.399999618530273,31724,12,83.69999694824219,26765,0,10.194849967956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4440010,LEWISTOWN BORO MUNI AUTH,1.8329938650131226,2.599736452102661,29.799999237060547,31357,12,85.19999694824219,26765,0,10.194849967956543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4470007,DANVILLE MUNICIPAL WATER AUTH,0.1912452131509781,3.272418260574341,17.100000381469727,34250,21.600000381469727,85.9000015258789,4897,0,8.496377944946289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4470007,DANVILLE MUNICIPAL WATER AUTH,0.4470939040184021,3.683202028274536,18.5,37238,23.100000381469727,91,4897,0,8.496377944946289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4470007,DANVILLE MUNICIPAL WATER AUTH,0.21335609257221222,3.6270534992218018,18.299999237060547,32929,20.5,86.69999694824219,4897,0,8.496377944946289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4470007,DANVILLE MUNICIPAL WATER AUTH,0.5327082872390747,4.687832832336426,17.5,36853,21.700000762939453,88.9000015258789,4897,0,8.496377944946289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4470010,MAHONING TWP MUN AUTH,0.1912452131509781,3.272418260574341,17.100000381469727,34250,21.600000381469727,85.9000015258789,1507,0,7.31787633895874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PA4470010,MAHONING TWP MUN AUTH,0.4470939040184021,3.683202028274536,18.5,37238,23.100000381469727,91,1507,0,7.31787633895874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
PA4470010,MAHONING TWP MUN AUTH,0.21335609257221222,3.6270534992218018,18.299999237060547,32929,20.5,86.69999694824219,1507,0,7.31787633895874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
PA4470010,MAHONING TWP MUN AUTH,0.5327082872390747,4.687832832336426,17.5,36853,21.700000762939453,88.9000015258789,1507,0,7.31787633895874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
PA4490007,MUNICIPAL AUTHORITY SUNBURY,1.4538936614990234,3.02728533744812,22.200000762939453,28143,7.900000095367432,75.4000015258789,11043,0,9.309552192687988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4490007,MUNICIPAL AUTHORITY SUNBURY,2.1821820735931396,4.114114284515381,22,27940,10.100000381469727,76.80000305175781,11043,0,9.309552192687988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4490007,MUNICIPAL AUTHORITY SUNBURY,2.349500894546509,4.638499736785889,23.700000762939453,27214,9.5,77,11043,0,9.309552192687988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4490007,MUNICIPAL AUTHORITY SUNBURY,2.3102643489837646,5.117033004760742,24.100000381469727,26597,10,77.9000015258789,11043,0,9.309552192687988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4550005,SELINSGROVE MUN WATERWORKS,2.5440313816070557,4.785625457763672,16.5,32957,24.299999237060547,89,5430,0,8.59969425201416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PA4550005,SELINSGROVE MUN WATERWORKS,3.865752935409546,4.972764015197754,15.800000190734863,34761,27.899999618530273,86.5999984741211,5430,0,8.59969425201416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
PA4550005,SELINSGROVE MUN WATERWORKS,3.9829301834106445,4.569701194763184,17.899999618530273,37063,24.899999618530273,86.19999694824219,5430,0,8.59969425201416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
PA4550005,SELINSGROVE MUN WATERWORKS,4.067916393280029,5.323664665222168,20.5,38172,26.100000381469727,86.4000015258789,5430,0,8.59969425201416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
PA4550011,SPRING TWP MUNICIPAL AUTHORITY,0,0,7.599999904632568,45208,8.100000381469727,81.80000305175781,1084,0,6.988413333892822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
